,Listing Price,Address,Number of Bedrooms,Number of Bathrooms,Area(sq-ft.),Property Type
0,"USD $48,438","Krishnarajapura, Bangalore, Karnataka",2,2,"1,011.00 sq ft",Apartment
1,"USD $146,607","Krishnarajapura, Bangalore, Karnataka",4,5,"3,060.00 sq ft",Apartment
2,"USD $133,671","Krishnarajapura, Bangalore, Karnataka",4,5,"2,790.00 sq ft",Apartment
3,"USD $50,737","Krishnarajapura, Bangalore, Karnataka",2,2,"1,059.00 sq ft",Apartment
4,"USD $95,390","Krishnarajapura, Bangalore, Karnataka",3,4,"1,991.00 sq ft",Apartment
5,"USD $77,136","Krishnarajapura, Bangalore, Karnataka",3,3,"1,610.00 sq ft",Apartment
6,"USD $60,751","Krishnarajapura, Bangalore, Karnataka",2,2,"1,268.00 sq ft",Apartment
7,"USD $116,040","Krishnarajapura, Bangalore, Karnataka",4,4,"2,422.00 sq ft",Apartment
8,"USD $28,986","Krishnarajapura, Bangalore, Karnataka",1,1,605.00 sq ft,Apartment
9,"USD $128,078","Mogappair, Chennai, Tamil Nadu",2,2,"1,288.00 sq ft",Apartment
10,"USD $135,635","Mogappair, Chennai, Tamil Nadu",2,2,"1,364.00 sq ft",Apartment
11,"USD $64,688","Rajarhat, Kolkata, West Bengal",2,2,609.00 sq ft,Apartment
12,"USD $83,859","Rajarhat, Kolkata, West Bengal",2,2,744.00 sq ft,Apartment
13,"USD $88,654","Rajarhat, Kolkata, West Bengal",3,3,753.00 sq ft,Apartment
14,"USD $83,864","Rajarhat, Kolkata, West Bengal",2,2,757.00 sq ft,Apartment
15,"USD $281,539","Bandra East, Mumbai, Maharashtra",1,1,635.00 sq ft,Apartment
16,,"Bandra East, Mumbai, Maharashtra",,,,Unit
17,"USD $99,435","Rajarhat, Kolkata, West Bengal",3,3,882.00 sq ft,Apartment
18,"USD $65,889","Poonamallee, Chennai, Tamil Nadu",2,2,711.00 sq ft,Apartment
19,"USD $100,638","Shela, Ahmedabad, Gujarat",3,3,"1,750.00 sq ft",Apartment
20,"USD $54,420","Rajarhat, Kolkata, West Bengal",3,3,882.00 sq ft,Apartment
21,"USD $84,218","Hebbal, Bangalore, Karnataka",1,1,486.00 sq ft,Apartment
22,"USD $81,707","Rajarhat, Kolkata, West Bengal",3,3,"1,042.00 sq ft",Apartment
23,"USD $56,771","Rajarhat, Kolkata, West Bengal",2,2,724.00 sq ft,Apartment
24,"USD $224,038","Begur, Bangalore, Karnataka",3,3,"1,501.00 sq ft",Apartment
25,"USD $73,462","Oragadam, Chennai, Tamil Nadu",3,3,"1,407.00 sq ft",Apartment
26,"USD $286,792","Hebbal, Bangalore, Karnataka",3,3,"1,655.00 sq ft",Apartment
27,"USD $65,056","Oragadam, Chennai, Tamil Nadu",2,2,"1,246.00 sq ft",Apartment
28,"USD $49,967","Oragadam, Chennai, Tamil Nadu",2,2,957.00 sq ft,Apartment
29,"USD $71,278","Rajarhat, Kolkata, West Bengal",3,3,909.00 sq ft,Apartment
30,"USD $601,669","Mahadevapura, Bangalore, Karnataka",4,4,"3,720.00 sq ft",Apartment
31,"USD $222,526","Navallur, Chennai, Tamil Nadu",4,4,"2,925.00 sq ft",Apartment
32,"USD $479,142","Hebbal, Bangalore, Karnataka",4,4,"2,765.00 sq ft",Apartment
33,"USD $230,029","Begur, Bangalore, Karnataka",3,3,"1,556.00 sq ft",Apartment
34,"USD $35,725","Rajarhat, Kolkata, West Bengal",1,1,579.00 sq ft,Apartment
35,"USD $51,652","Bagaluru Near Yelahanka, Bangalore, Karnataka",3,3,971.00 sq ft,Apartment
36,"USD $269,565","Begur, Bangalore, Karnataka",3,3,"1,820.00 sq ft",Apartment
37,"USD $74,525","Bagaluru Near Yelahanka, Bangalore, Karnataka",3,3,"1,401.00 sq ft",Apartment
38,"USD $46,275","Rajarhat, Kolkata, West Bengal",2,2,750.00 sq ft,Apartment
39,"USD $641,457","Mahadevapura, Bangalore, Karnataka",4,4,"3,966.00 sq ft",Apartment
40,"USD $55,674","Rajarhat, Kolkata, West Bengal",2,2,710.00 sq ft,Apartment
41,"USD $73,880","Oragadam, Chennai, Tamil Nadu",3,3,"1,415.00 sq ft",Apartment
42,"USD $55,756","Bagaluru Near Yelahanka, Bangalore, Karnataka",2,2,740.00 sq ft,Apartment
